id,name,hierarchy_level,type
-100000000000192795,république démocratique du congo,2,country
-100000000000193102,tanganyika,4,province
-100000000005642697,maniema,4,province
-100000000005642698,nord-kivu,4,province
-100000000005642699,sud-kivu,4,province
-100000000000193083,tshuapa,4,province
-100000000000193099,sankuru,4,province
-100000000005646599,kasaï-central,4,province
-100000000003652373,kasaï,4,province
-100000000000193086,haut-lomami,4,province
-100000000005646600,lomami,4,province
-100000000003654168,kasaï-oriental,4,province
-100000000000193085,haut-katanga,4,province
-100000000005646601,lualaba,4,province
-100000000005646653,kwilu,4,province
-100000000000193090,kongo-central,4,province
-100000000000193091,kwango,4,province
-100000000000192819,tshopo,4,province
-100000000005646651,kinshasa,4,province
-100000000005647368,mai-ndombe,4,province
-100000000000193084,équateur,4,province
-100000000000192820,bas-uele,4,province
-100000000000192822,nord-ubangi,4,province
-100000000000193101,sud-ubangi,4,province
-100000000000192821,mongala,4,province
-100000000000192818,ituri,4,province
-100000000000192817,haut-uele,4,province
-100000000014359090,kikwit,6,city
-100000000012766434,idjwi,6,city
-100000000012720424,aru,6,city
-100000000011925117,kaniama,6,city
-100000000011912737,sakania,6,city
-100000000011719861,zongo,6,city
-100000000011719860,libenge,6,city
-100000000011719840,bosobolo,6,city
-100000000011719784,lisala,6,city
-100000000011701911,bunia,6,city
-100000000011294846,mahagi,6,city
-100000000011294845,djugu,6,city
-100000000011250678,kolwezi,6,city
-100000000011132472,mambasa,6,city
-100000000011116707,lubudi,6,city
-100000000011111575,mutshatsha,6,city
-100000000011111431,kapanga,6,city
-100000000011111430,sandoa,6,city
-100000000011107202,lukula,6,city
-100000000009984940,irumu,6,city
-100000000009982840,aketi,6,city
-100000000009231673,kipushi,6,city
-100000000008974983,rutshuru,6,city
-100000000008974600,nyiragongo,6,city
-100000000008972965,butembo,6,city
-100000000008972963,beni,6,city
-100000000006820700,lupatapata,6,city
-100000000006820699,kabeya-kamuanga,6,city
-100000000006820698,tshilenge,6,city
-100000000006820610,miabi,6,city
-100000000006820509,katanda,6,city
-100000000006178732,ville de mbujimayi,6,city
-100000000005990382,kabongo,6,city
-100000000005646651,kinshasa,6,city
-100000000005387758,ville de lubumbashi,6,city
-100000000005328045,bukama,6,city
-100000000005327850,tshela,6,city
-100000000005327849,songololo,6,city
-100000000005327848,seke-banza,6,city
-100000000005327847,moanda,6,city
-100000000005327846,mbanza-ngungu,6,city
-100000000005327845,matadi,6,city
-100000000005327844,madimba,6,city
-100000000005327843,luozi,6,city
-100000000005327841,kimvula,6,city
-100000000005327840,kasangulu,6,city
-100000000005327839,boma,6,city
-100000000005327799,walungu,6,city
-100000000005327798,walikale,6,city
-100000000005327797,uvira,6,city
-100000000005327795,shabunda,6,city
-100000000005327794,punia,6,city
-100000000005327793,pangi,6,city
-100000000005327792,mwenga,6,city
-100000000005327791,masisi,6,city
-100000000005327790,lubutu,6,city
-100000000005327789,lubero,6,city
