id,name,ref,highway
33673364,"",rn5,trunk
33663693,"",rp626,secondary
1137187916,"",rp626,secondary
1137187917,"",rp626,secondary
33669813,"",rp626,secondary
634697104,"",rp626,secondary
634697101,"",rp626,secondary
33676073,"",rp626,secondary
1017071166,"",rn34,primary
181102229,"",rp626,secondary
181102234,"",rp626,secondary
181102237,"",rp626,secondary
33675664,avenue principale,"",tertiary
1184677742,avenue de la hospital,"",residential
1184724374,avenue de la hospital,"",tertiary
33677101,"",rn34,primary
33602802,"",rn34,primary
96608971,"",rn34,primary
1017071165,"",rn34,primary
195896297,avenue de la mission,"",tertiary
96608980,"",rn34,primary
33666834,"",rn34,primary
49062079,"",rn34,primary
33676750,"",rn34,primary
1017071186,"",rn34,primary
181454164,"",rn34,primary
96608979,"",rn34,primary
196085828,"",rn34,primary
33659943,"",rn34,primary
772952907,"",rn34,primary
613184906,"",rn34,primary
613184905,"",rn34,primary
1017810684,"",rn34,primary
1017810683,"",rn34,primary
196085849,"",rn34,primary
1017822793,"",rn34,primary
1017822794,"",rn34,primary
33665361,"",rn34,primary
613179836,"",rn34,primary
613183600,"",rn34,primary
613183599,"",rn34,primary
33677196,"",rn34,primary
559524506,"",rn34,primary
1017842627,"",rn34,primary
33595868,"",rn34,primary
1017822782,"",rn34,primary
613179835,"",rn34,primary
33677508,"",rn34,primary
1017822783,"",rn34,primary
1020262036,"",rn34,primary
1020262035,"",rn34,primary
1017822784,"",rn34,primary
1017822785,"",rn34,primary
33596462,"",rn34,primary
33594431,"",rn34,primary
772952905,"",rp626,secondary
613177490,"",rp626,secondary
772952906,"",rp626,secondary
613177489,"",rp626,secondary
33672279,"",rp626,secondary
33662959,"",rs624,tertiary
1184677739,avenue de la mission,"",tertiary
1184677743,avenue de la mission,"",tertiary
33598708,"",rs624,tertiary
33592621,"",rs624,tertiary
33594676,"",rs624,tertiary
96632175,"",rs625,tertiary
634705614,"",rp626,secondary
96932224,"",rp626,secondary
96932270,"",rp626,secondary
634705615,"",rp626,secondary
96932266,"",rp626,secondary
33594146,"",rp626,secondary
33676618,"",rp626,secondary
96932287,"",rp626,secondary
613177491,"",rp626,secondary
613177492,"",rp626,secondary
33602044,"",rp626,secondary
33599286,"",rp626,secondary
33663056,"",rs625,tertiary
96632172,"",rs625,tertiary
33594955,"",rs625,tertiary
33673810,"",rs625,tertiary
33676030,"",rs625,track
33667660,"",rs625,tertiary
33593418,"",rs625,tertiary
33677049,"",rs625,tertiary
33674170,"",rs624,tertiary
33604220,"",rs624,tertiary
33591491,"",14252,unclassified
635619571,"",rs624,tertiary
33660207,"",rs625,tertiary
96632188,"",rs625,tertiary
33661384,"",rs625,tertiary
96632170,"",rs625,tertiary
1015816016,"",rs625,tertiary
1016881143,"",rs625,tertiary
1015816015,"",rs625,tertiary
96632185,"",rs625,tertiary
1016881138,"",rs625,tertiary
1015816013,"",rs625,tertiary
261900567,"",rn5,trunk
403428695,"",rn5,trunk
33672546,"",rs624,tertiary
769622246,"",rs624,tertiary
769622245,"",rs624,tertiary
33660991,"",rs624,tertiary
33668094,"",rs624,tertiary
404075679,"",rn5,trunk
195069185,route de l'aéroport,"",unclassified
403467861,"",rn5,trunk
403466545,"",rn5,trunk
261900566,"",rn5,trunk
403428696,"",rn5,trunk
473886532,chef pweto,"",unclassified
398430450,chef pweto,"",unclassified
33593387,vers chez le chef,"",unclassified
261673860,"",rn5,trunk
398304563,"",rn5,trunk
432130517,"",rn5,trunk
397815124,"",rn5,trunk
96635777,route vers katabe,d79,tertiary
398118479,avenue katumba,"",residential
399441880,"",d79,tertiary
399441879,"",d79,tertiary
398118485,"",d79,tertiary
706403161,port katumba,"",service
307001788,"",d440,tertiary
33594297,"",rn5,trunk
423228165,"",rn5,trunk
423228168,pont milondey,rn5,trunk
423228170,"",rn5,trunk
423228162,"",rn5,trunk
33596682,"",rn5,trunk
33665098,"",rp623,secondary
52049872,"",rp623,secondary
52049873,"",rp623,secondary
52049871,"",rp623,secondary
52049870,"",rp623,secondary
33596531,"",rp623,secondary
33670990,"",rp623,secondary
33664713,"",rp623,secondary
33694343,"",rp623,secondary
423231454,"",rn5,trunk
423231455,"",rn5,trunk
423231453,pont luila,rn5,trunk
33664756,"",rn5,trunk
564371072,pont lukonzolo,rn5,trunk
564371070,pont mantemuna,rn5,trunk
33677321,"",rn5,trunk
633324696,"",rn5,trunk
564371071,"",rn5,trunk
633324695,pont masefwe,rn5,trunk
564371068,pont luankonko,rn5,trunk
633324694,"",rn5,trunk
633324693,pont mutalala,rn5,trunk
564371067,"",rn5,trunk
377867052,"",rp627,tertiary
96740787,"",rs625,tertiary
96740786,"",rs625,tertiary
635673333,"",rs624,tertiary
96740769,"",rs625,tertiary
96740759,"",rs624,tertiary
33665806,"",rs624,tertiary
33604255,"",rs624,tertiary
33660289,"",rp626,secondary
613168849,"",rp626,secondary
613168848,"",rp626,secondary
33662792,"",rp626,secondary
33599167,"",rp626,secondary
613177497,"",rp626,secondary
613177495,"",rp626,secondary
33598572,"",rp626,secondary
33659575,"",rp626,secondary
613177494,"",rp626,secondary
613177493,"",rp626,secondary
33669441,"",rp626,secondary
96740770,"",rp626,secondary
33596886,"",rp626,secondary
33602387,"",rp626,secondary
33664810,"",rp626,secondary
96851576,"",rp626,secondary
96851603,"",rp626,secondary
96851592,"",rp626,secondary
33669660,"",rp626,secondary
196085820,"",rp626,secondary
613168851,"",rp626,secondary
613168850,"",rp626,secondary
33673678,"",rs624,tertiary
33674712,"",rs624,tertiary
33595049,"",rs624,tertiary
634740682,"",rp627,tertiary
634740686,"",rp627,tertiary
634740684,"",rp627,tertiary
488733544,"",rp627,tertiary
402124475,"",rn5,trunk
33592361,"",rn5,trunk
261668152,concession katuba mwanke,"",residential
402124474,"",rn5,trunk
33601468,avenue principale,rn5,trunk
402568607,"",rn5,trunk
404075680,"",rn5,trunk
403563405,"",d79,tertiary
403564368,"",d79,tertiary
403564369,"",d79,tertiary
403563404,"",d79,tertiary
403466544,"",rn5,trunk
569729422,rn5,rn5,trunk
610157782,pont lufira,rn5,trunk
610157783,"",rn5,trunk
569729424,"",rn5,trunk
569729425,"",rn5,trunk
569729423,pont lufira,rn5,trunk
1359319479,"",rn5,trunk
1359319480,"",rn5,trunk
564465608,"",rn5,trunk
564465605,"",rn5,trunk
33592792,"",rn5,trunk
564465606,pont kivua,rn5,trunk
633324686,"",rn5,trunk
633324685,pont kalongwe,rn5,trunk
33662687,"",rn5,trunk
633324688,"",rn5,trunk
633324687,"",rn5,trunk
564465607,"",rn5,trunk
633324689,"",rn5,trunk
633324691,pont mweshi,rn5,trunk
423228171,"",rn5,trunk
423228169,pont mukuba,rn5,trunk
633324690,"",rn5,trunk
633324692,"",rn5,trunk
564371074,pont mihuku,rn5,trunk
564371073,"",rn5,trunk
564361356,"",rn5,trunk
1017795289,"",rp626,secondary
574508888,"",rn5,trunk
96805084,"",rp627,tertiary
33604047,"",rp627,tertiary
33670003,"",rp627,tertiary
33601107,"",rp627,tertiary
33665368,"",rp627,tertiary
96805086,"",rp627,tertiary
96805091,"",rp627,tertiary
1019711227,"",rn33,primary
673434245,route mineure,"",unclassified
33602256,"",rp627,tertiary
430590105,"",rp627,tertiary
430590103,"",rp627,tertiary
33670806,"",rp627,tertiary
634736182,"",rp627,tertiary
772952917,"",rp627,tertiary
33661352,"",rp627,tertiary
634736195,"",rp627,tertiary
49060684,"",rn33,primary
33664493,"",rn33,primary
196085834,"",rn33,primary
1017154160,"",rn33,primary
1017154166,"",rn33,primary
1019711220,"",rn33,primary
1019711215,"",rn33,primary
33666078,"",rn33,primary
33672127,"",rn33,primary
1019711221,"",rn33,primary
1019711228,"",rn33,primary
461765355,rn33,"",primary
1433610200,rn33,"",primary
1433610198,rn33,"",primary
1433610201,"",rn33,residential
33671675,"",rn33,primary
1017154099,"",rn5,trunk
1017188549,avenue jubert,"",residential
1017153992,avenue de la source,rn5,trunk
1017153991,avenue de la source,rn5,trunk
1368134097,"",rn5,trunk
239177483,"",rn5,trunk
195821841,avenue lumumba,rn5,trunk
1153739821,avenue lumumba,rn5,trunk
772952898,"",rn5,trunk
33599704,"",rp626,secondary
33593891,"",rp626,secondary
1017795290,"",rp626,secondary
33669346,"",rp626,secondary
33660547,"",rp626,secondary
33670971,"",rp626,secondary
33600397,"",rp626,secondary
772952899,"",rn5,trunk
772952897,"",rp626,secondary
574452957,"",rn5,trunk
574508889,"",rn5,trunk
1017860415,"",rn5,trunk
1017842634,"",rn5,trunk
1017860416,"",rn5,trunk
1017842633,"",rn5,trunk
574452956,"",rn5,trunk
33591282,"",rn5,trunk
1020240511,"",rn5,trunk
1153739819,avenue lumumba,"",residential
120711188,ancien pont lukuga,"",residential
1153739820,pont lukuga,rn5,trunk
120711183,avenue industrielle,"",tertiary
1016168696,avenue centrale,"",tertiary
1016168697,avenue centrale,"",tertiary
33664370,avenue centrale,"",tertiary
239177482,"",rn5,trunk
33668277,"",rn5,trunk
239168110,"",rn5,trunk
239168111,"",rn5,trunk
239168109,"",rn5,trunk
239168112,"",rn5,trunk
200758031,avenue kapangula,"",residential
239167024,"",rn5,trunk
239167022,"",rn5,trunk
